lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2025-02-11 06:05:42.201390,0.1225554496049881,0.0008011323516257107,0.1225554496049881,1699.0,16.0,,,,,,,,,
,2025-02-11 06:05:42.926789,,,,,16.0,0.0591791532933712,0.00021512135572265834,0.0591791532933712,0.0722402036190033,0.00025698673562146723,0.0722402036190033,,,
,2025-02-11 06:05:42.945695,,,,,16.0,,,,,,,0.13934706151485443,0.0022038351744413376,0.13934706151485443
0.025,2025-02-11 06:05:57.407984,,,,,,,,,,,,,,
,2025-02-11 06:05:57.697433,0.06269265711307526,0.00022192519099917263,0.06269265711307526,1749.0,17.0,,,,,,,,,
0.025,2025-02-11 06:06:12.022211,,,,,,,,,,,,,,
,2025-02-11 06:06:13.146617,0.13242962956428528,0.0005732218269258738,0.13242962956428528,1799.0,17.0,,,,,,,,,
,2025-02-11 06:06:13.853833,,,,,17.0,0.20819707214832306,0.004878660198301077,0.20819707214832306,0.061671800911426544,0.0002522792783565819,0.061671800911426544,,,
,2025-02-11 06:06:13.868296,,,,,17.0,,,,,,,0.14637215435504913,0.0033737393096089363,0.14637215435504913
0.025,2025-02-11 06:06:28.414092,,,,,,,,,,,,,,
,2025-02-11 06:06:28.700565,0.20034919679164886,0.004805461969226599,0.20034919679164886,1849.0,18.0,,,,,,,,,
0.025,2025-02-11 06:06:43.120941,,,,,,,,,,,,,,
,2025-02-11 06:06:44.246922,0.010333468206226826,4.42262644355651e-05,0.010333468206226826,1899.0,18.0,,,,,,,,,
,2025-02-11 06:06:44.954436,,,,,18.0,0.08517714589834213,0.00034142902586609125,0.08517714589834213,0.055508021265268326,0.00021318891958799213,0.055508021265268326,,,
,2025-02-11 06:06:44.967578,,,,,18.0,,,,,,,0.1391240656375885,0.004171574022620916,0.1391240656375885
0.025,2025-02-11 06:06:59.388334,,,,,,,,,,,,,,
,2025-02-11 06:06:59.673810,0.17156124114990234,0.0007436602609232068,0.17156124114990234,1949.0,19.0,,,,,,,,,
