lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2025-02-11 06:03:16.932643,,,,,13.0,0.1986633688211441,0.0010537978960201144,0.1986633688211441,0.03258606791496277,0.00011472946789581329,0.03258606791496277,,,
,2025-02-11 06:03:16.952557,,,,,13.0,,,,,,,0.1592150181531906,0.0033547510392963886,0.1592150181531906
0.025,2025-02-11 06:03:33.637215,,,,,,,,,,,,,,
,2025-02-11 06:03:33.975458,0.06297595798969269,0.00022434322454500943,0.06297595798969269,1449.0,14.0,,,,,,,,,
0.025,2025-02-11 06:03:51.207514,,,,,,,,,,,,,,
,2025-02-11 06:03:53.239320,0.04940074682235718,0.00017255566490348428,0.04940074682235718,1499.0,14.0,,,,,,,,,
,2025-02-11 06:03:53.924235,,,,,14.0,0.20316778123378754,0.0009505374473519623,0.20316778123378754,0.2791864573955536,0.0050244415178895,0.2791864573955536,,,
,2025-02-11 06:03:53.937242,,,,,14.0,,,,,,,0.15886281430721283,0.0016515833558514714,0.15886281430721283
0.025,2025-02-11 06:04:57.570970,,,,,,,,,,,,,,
,2025-02-11 06:04:58.068950,0.1295715868473053,0.0005852336762472987,0.1295715868473053,1549.0,15.0,,,,,,,,,
0.025,2025-02-11 06:05:15.751697,,,,,,,,,,,,,,
,2025-02-11 06:05:16.932117,0.30988869071006775,0.003753460943698883,0.30988869071006775,1599.0,15.0,,,,,,,,,
,2025-02-11 06:05:17.676003,,,,,15.0,0.20960932970046997,0.0010333110112696886,0.20960932970046997,0.25412580370903015,0.0018822256242856383,0.25412580370903015,,,
,2025-02-11 06:05:17.690237,,,,,15.0,,,,,,,0.17668035626411438,0.006383052095770836,0.17668035626411438
0.025,2025-02-11 06:05:35.531184,,,,,,,,,,,,,,
,2025-02-11 06:05:35.846058,0.2821038067340851,0.004087634850293398,0.2821038067340851,1649.0,16.0,,,,,,,,,
0.025,2025-02-11 06:05:53.144455,,,,,,,,,,,,,,
,2025-02-11 06:05:54.317088,0.1307990998029709,0.0008529261685907841,0.1307990998029709,1699.0,16.0,,,,,,,,,
,2025-02-11 06:05:55.009608,,,,,16.0,0.06190548092126846,0.0002258603781228885,0.06190548092126846,0.08284974098205566,0.00029366835951805115,0.08284974098205566,,,
,2025-02-11 06:05:55.022439,,,,,16.0,,,,,,,0.15358778834342957,0.002307157963514328,0.15358778834342957
0.025,2025-02-11 06:06:12.419468,,,,,,,,,,,,,,
,2025-02-11 06:06:12.756876,0.08503052592277527,0.000301730033243075,0.08503052592277527,1749.0,17.0,,,,,,,,,
0.025,2025-02-11 06:06:29.937796,,,,,,,,,,,,,,
,2025-02-11 06:06:31.142000,0.14034640789031982,0.0006099590100347996,0.14034640789031982,1799.0,17.0,,,,,,,,,
,2025-02-11 06:06:31.817009,,,,,17.0,0.2146047204732895,0.005038663744926453,0.2146047204732895,0.07068254798650742,0.0002890333707910031,0.07068254798650742,,,
,2025-02-11 06:06:31.830469,,,,,17.0,,,,,,,0.15943466126918793,0.0034825026523321867,0.15943466126918793
0.025,2025-02-11 06:06:48.784832,,,,,,,,,,,,,,
,2025-02-11 06:06:49.114449,0.21739588677883148,0.004792875610291958,0.21739588677883148,1849.0,18.0,,,,,,,,,
0.025,2025-02-11 06:07:05.730004,,,,,,,,,,,,,,
,2025-02-11 06:07:06.892997,0.011378706432878971,4.935269316774793e-05,0.011378706432878971,1899.0,18.0,,,,,,,,,
